ENGLISH	HRVATSKI, SRPSKI	RS800CX-HRRS800CX
46 After the Test ..................................................................................................................	Nakon testa ....................................................................................................................	RS800CX-HRRS800CX
46 Polar OwnOptimizerTM ..........................................................................................................	Polar OwnOptimizerTM .....................................................................................................	RS800CX-HRRS800CX
48 General ..........................................................................................................................	Općenito ........................................................................................................................	RS800CX-HRRS800CX
48 Before the Test.................................................................................................................	Prije testa .......................................................................................................................	RS800CX-HRRS800CX
48 Performing the Test...........................................................................................................	Provođenje testa ..............................................................................................................	RS800CX-HRRS800CX
48 After the Test ..................................................................................................................	Nakon testa ....................................................................................................................	RS800CX-HRRS800CX
49 10.USING A NEW HEART RATE SENSOR ..........................................................................................	38 38 39 39 39 39 39 39 40 40 40 41 41 42 42 43 43 43 43 44 44 45 45 45 46 46 48 48 48 48 49 10.UPORABA NOVOG PRIMOPREDAJNIKA .............................................................................	RS800CX-HRRS800CX
52 Teach a New Heart Rate Sensor ...............................................................................................	52 Uvođenje novog primopredajnika .......................................................................................	RS800CX-HRRS800CX
52 11.BACKGROUND INFORMATION ...................................................................................................	52 11.DODATNE INFORMACIJE ..................................................................................................	RS800CX-HRRS800CX
53 Polar Sport Zones ................................................................................................................	Polar sportske zone ..........................................................................................................	RS800CX-HRRS800CX
53 OwnZone Training ................................................................................................................	OwnZone vježbanje ..........................................................................................................	RS800CX-HRRS800CX
54 Maximum Heart Rate .............................................................................................................	Maksimalni broj otkucaja srca ............................................................................................	RS800CX-HRRS800CX
54 Heart Rate Value in a Sitting Position ........................................................................................	Otkucaji srca u sjedećem položaju .....................................................................................	RS800CX-HRRS800CX
55 Heart Rate Reserve ...............................................................................................................	Rezerva otkucaja srca .......................................................................................................	RS800CX-HRRS800CX
55 Heart Rate Variability ............................................................................................................	Promjenjivost otkucaja srca...............................................................................................	RS800CX-HRRS800CX
55 Running Cadence and Stride Length ..........................................................................................	Ritam trčanja i dužina koraka .............................................................................................	RS800CX-HRRS800CX
56 R-R Recording .....................................................................................................................	R-R snimanje ...................................................................................................................	RS800CX-HRRS800CX
57 Polar Running Index..............................................................................................................	Polar indeks trčanja ..........................................................................................................	RS800CX-HRRS800CX
57 Polar Training Articles...........................................................................................................	Biblioteka Polar članaka ....................................................................................................	RS800CX-HRRS800CX
59 12.CUSTOMER SERVICE INFORMATION ...........................................................................................	12.INFORMACIJE SLUŽBE ZA KORISNIKE...............................................................................	RS800CX-HRRS800CX
60 Care and Maintenance...........................................................................................................	Briga i održavanje.............................................................................................................	RS800CX-HRRS800CX
60 Caring For Your Product .....................................................................................................	Briga o vašem proizvodu ...................................................................................................	RS800CX-HRRS800CX
60 Service ...........................................................................................................................	Servis ............................................................................................................................	RS800CX-HRRS800CX
60 Changing Batteries............................................................................................................	Zamjena baterija ..............................................................................................................	RS800CX-HRRS800CX
60 Changing Training Computer Battery .....................................................................................	Zamjena baterije monitora srčane frekvencije.........................................................................	RS800CX-HRRS800CX
61 Precautions ........................................................................................................................	Mjere opreza ....................................................................................................................	RS800CX-HRRS800CX
62 Interference During Exercise ..............................................................................................	Smetnje za vrijeme vježbanja .............................................................................................	RS800CX-HRRS800CX
62 Minimizing Risks When Exercising........................................................................................	Minimiziranje rizika prilikom vježbanja ..................................................................................	RS800CX-HRRS800CX
62 Technical Specifications ........................................................................................................	53 53 54 54 55 55 56 56 57 57 60 61 61 61 61 61 61 62 62 63 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
63 Frequently Asked Questions.....................................................................................................	Tehničke specifikacije .......................................................................................................	RS800CX-HRRS800CX
64 ENGLISH	Često postavljana pitanja ..................................................................................................	RS800CX-HRRS800CX
Limited International Polar Guarantee ........................................................................................	Ograničeno Polar međunarodno jamstvo ............................................................................	RS800CX-HRRS800CX
66 Polar Disclaimer ..................................................................................................................	Polar pravna izjava ...........................................................................................................	RS800CX-HRRS800CX
67 INDEX ...............................................................................................................................	63 65 66 67 INDEKS ...........................................................................................................................	RS800CX-HRRS800CX
68 ENGLISH	69 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
1. INTRODUCTION	1. UVOD Čestitamo!	RS800CX-HRRS800CX
Congratulations! You have purchased a complete training system to tailor-fit your training needs.	Kupili ste kompletni sustav za vježbanje koji je iskrojen prema vašim potrebama za vježbanjem.	RS800CX-HRRS800CX
This user manual includes complete instructions on getting the most of your Polar RS800CX training computer.	Ovaj korisnički priručnik sadrži kompletne upute, koje će vam pomoći da do kraja iskoristite vaše monitor srčane frekvencije.	RS800CX-HRRS800CX
The latest version of this user manual can be downloaded at http://www.polar.com/support.	Najnovija inačica ovog korisničkog priručnika se može skinuti s http://www.polar.fi/support.	RS800CX-HRRS800CX
For video tutorials, go to http://www.polar.com/en/support/video_tutorials.	Za video upute, posjetite http://www.polar.fi/en/support/video_tutorials. UVOD	RS800CX-HRRS800CX
Introduction 5	5 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
ENGLISH 2. TRAINING COMPUTER PARTS	2. DIJELOVI MONITORA SRČANE FREKVENCIJE	RS800CX-HRRS800CX
1. Polar RS800CX training computer: displays and records your heart rate and other exercise data during exercise.	1. 2. Polar RS800CX monitor srčane frekvencije: prikazuje i sprema otkucaje srca i druge podatke tijekom vježbanja.	RS800CX-HRRS800CX
2. Polar Polar H3 heart rate sensor: sends the heart rate signal to the training computer.	2. Polar WearLink® W.I.N.D. primopredajnik: šalje signal otkucaja srca u monitor srčane frekvencije.	RS800CX-HRRS800CX
Includes a connector and strap.	Uključuje priključak i pojas.	RS800CX-HRRS800CX
CD-ROM: The CD includes Polar ProTrainer 5 TM software and a complete user manual.	TM CD-ROM: sadrži Polar ProTrainer 5	RS800CX-HRRS800CX
Polarpersonaltrainer.con web service: Polarpersonaltrainer.com is your online training diary and interactive training community that keeps you motivated.	softver i kompletni korisnički priručnik.	RS800CX-HRRS800CX
The latest version of this user manual can be downloaded at www.polar.com/support.	Najnovija inačica ovog korisničkog priručnika se može skinuti s http://www.polar.fi/support.	RS800CX-HRRS800CX
Optional Accessories	Opcijska dodatna oprema	RS800CX-HRRS800CX
1. Polar s3/s3+ stride sensorTM W.I.N.D.: transmits the running speed/pace and distance measurements to the training computer.	1. 2. Polar s3 senzor brzine trčanja TM W.I.N.D.: prenosi signal brzine/ritma trčanja i udaljenosti u monitor srčane frekvencije.	RS800CX-HRRS800CX
Also measures running cadence and stride length.	Također mjeri ritam trčanja i dužinu koraka.	RS800CX-HRRS800CX
2. Polar G3/G5 GPS sensorTM W.I.N.D.: provides speed, distance and location data, as well as track information, in all outdoor sports using Global Positioning System (GPS) technology.	Polar G3 GPS senzorTM : pruža podatke o brzini, udaljenosti i lokaciji, kao i informacije o stazi, u svim sportovima na otvorenom, koristeći GPS (Global Positioninh System) tehnologiju.	RS800CX-HRRS800CX
You can transfer your track data to the Polar ProTrainer 5 software to view in Google Earth or to convert into a GPX file.	Prebacite vaše podatke o stazi u Polar ProTrainer 5 softver kako bih ih pregledali u Google Earth servisu ili pretvorili u GPX datoteku.	RS800CX-HRRS800CX
For more information, see software help.	Za više informacija, pogledajte upute za softver.	RS800CX-HRRS800CX
3. Polar Cycling Speed SensorTM W.I.N.D.: measures speed and distance when cycling.	Polar senzor brzineTM W.I.N.D.: mjeri brzinu i udaljenost tijekom vožnje bicikla.	RS800CX-HRRS800CX
4. Polar Cadence Sensor TM W.I.N.D.: measures cadence, i.e. crank revolutions per minute when cycling.	Polar senzor ritmaTM W.I.N.D.: mjeri ritam, odnosno broj okretaja pedala u minuti.	RS800CX-HRRS800CX
When using the Polar G3/G5 GPS sensor with a Polar s3/s3+ stride sensor or Polar cycling speed sensor, the GPS will only be used for location and route tracking.	3. 4. Prilikom uporabe Polar G3 GPS senzora s Polar s3 senzorom brzine trčanja ili Polar senzorom brzine, GPS će se koristiti samo za određivanje lokacije i praćenje rute.	RS800CX-HRRS800CX
However, when the s3/s3+ stride sensor or cycling speed sensor is not in range (e.g. the type of sport changes during training), the training computer automatically retrieves speed and distance data from the GPS sensor.	Međutim, ako s3 senzor brzine trčanja ili senzor brzine vožnje nisu u dometu (npr. promjeni se vrsta sporta tijekom vježbanja), monitor srčane frekvencije automatski prima podatke o brzini i udaljenosti iz GPS senzora.	RS800CX-HRRS800CX
This way the speed and distance measurement is secured throughout your training session.	Na ovaj način se osigurava mjerenje brzine i udaljenosti tijekom vježbanja.	RS800CX-HRRS800CX
To start using the s3/s3+ stride sensor or the cycling speed sensor again, long press LIGHT and select Seek sensor.	Za ponovni početak uporabe s3 senzora brzine trčanja ili senzora brzine, dugo pritisnite tipku SVJETLO i odaberite Seek sensor.	RS800CX-HRRS800CX
For video tutorials on how to use these accessories, go to http://www.polar.com/en/polar_community/videos.		RS800CX-HRRS800CX
6 Training Computer Parts	6 DIJELOVI MONITORA SRČANE FREKVENCIJE	RS800CX-HRRS800CX
ENGLISH	HRVATSKI, SRPSKI	RS800CX-HRRS800CX
3. GETTING STARTED	3. PRIPREMA Osnovne postavke	RS800CX-HRRS800CX
Basic Settings Before exercising with your training computer, customize the basic settings.	Prije prve uporabe vašeg monitora srčane frekvencije, prilagodite osnovne postavke.	RS800CX-HRRS800CX
Enter as accurate data as possible to ensure correct performance feedback based on your personal metrics.	Unesite što je moguće točnije podatke, kako bi osigurali točne povratne informacije na osnovi vaše izvedbe.	RS800CX-HRRS800CX
To adjust the data, use UP, DOWN and accept with OK.	Za namještanje podataka, koristite tipke GORE, DOLJE i prihvatite s OK.	RS800CX-HRRS800CX
The values scroll faster if you press and hold UP or DOWN.	Vrijednosti se brže mijenjaju ako pritisnite i držite tipke GORE ili DOLJE.	RS800CX-HRRS800CX
1. To activate your training computer, press OK twice.	1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. Za aktiviranje vašeg monitora srčane frekvencije, pritisnite tipku OK dva puta.	RS800CX-HRRS800CX
2. The Polar logo will appear.	Pojaviti će se Polar logo.	RS800CX-HRRS800CX
Press OK.	Pritisnite OK.	RS800CX-HRRS800CX
3. Language: Select English, Deutsch, Español, Français or Italian.	Jezik (Language): Odaberite English, Deutsch, Español, Français ili Italian.	RS800CX-HRRS800CX
4. Start with basic settings is displayed.	Prikaže se Start with basic settings (Počnite s osnovnim postavkama).	RS800CX-HRRS800CX
Press OK.	Pritisnite OK.	RS800CX-HRRS800CX
5. Time: Select 12h or 24h.	Time (vrijeme): Odaberite 12h ili 24h.	RS800CX-HRRS800CX
With 12h, select AM or PM.	Kod 12h odaberite AM ili PM.	RS800CX-HRRS800CX
Set the local time.	Unesite lokalno vrijeme.	RS800CX-HRRS800CX
6. Date: Set today’s date, dd=day, mm=month, yy=year.	Date (datum): Unesite trenutni datum; dd=dan, mm=mjesec, yy=godina.	RS800CX-HRRS800CX
7. Units: Select metric (kg/cm/km) or imperial (lb/ft/mi) units.	Units (jedinice): odaberite metričke (kg/cm/km) ili imperijalne (lb/ft/mi) jedinice.	RS800CX-HRRS800CX
8. Weight: Enter your weight.	Weight (masa): unesite vašu masu.	RS800CX-HRRS800CX
To change units, press and hold LIGHT.	Za promjenu jedinica pritisnite i držite SVJETLO.	RS800CX-HRRS800CX
9. Height: Enter your height.	Height (visina): unesite vašu visinu.	RS800CX-HRRS800CX
If you use imperial units, first set feet (ft) then inches (in).	Kod imperijalnih jedinica, prvo unesite stope, a nakon toga inče.	RS800CX-HRRS800CX
10. Birthday: Enter your date of birth, dd=day, mm=month, yy=year.	Birthday (datum rođenja): unesite vaš datum rođenja; dd=dan, mm=mjesec, yy=godina.	RS800CX-HRRS800CX
11. Sex: Select Male or Female.	Sex (spol): Odaberite Male (muški) ili Female (ženski).	RS800CX-HRRS800CX
12. Settings OK? is displayed.	Prikaže se Settings OK? (Postavke OK?).	RS800CX-HRRS800CX
Select Yes: Settings are accepted and saved.	Odaberite Yes: za prihvaćanje i spremanje postavki.	RS800CX-HRRS800CX
The training computer will display the time.	Monitor srčane frekvencije će prikazati vrijeme.	RS800CX-HRRS800CX
Select No if settings are incorrect and need to be changed.	Odaberite No ako su postavke netočne i treba ih promijeniti.	RS800CX-HRRS800CX
Press STOP to return to the data you want to change.	Pritisnite STOP za povratak na podatke koje želite promijeniti. PRIPREMA	RS800CX-HRRS800CX
Getting Started 7	7 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
ENGLISH Menu Structure	Struktura izbornika	RS800CX-HRRS800CX
8 Getting Started	8 PRIPREMA	RS800CX-HRRS800CX
ENGLISH		RS800CX-HRRS800CX
4. PREPARE FOR TRAINING	HRVATSKI, SRPSKI	RS800CX-HRRS800CX
Plan Your Training Exercise Types You can utilize the installed ready-made exercises or create your own using the training computer.	4. PRIPREMA ZA VJEŽBANJE Planiranje vašeg vježbanja Vrste vježbi Na vašem monitoru srčane frekvencije možete provesti instalirane pripremljene vježbe ili možete stvoriti nove.	RS800CX-HRRS800CX
Create more versatile ones and transfer them to the training computer by using the Polar ProTrainer 5.	Koristeći Polar ProTrainer 5 softver isplanirajte i stvorite više raznolikih vježbi i prenesite ih na vaš monitor srčane frekvencije.	RS800CX-HRRS800CX
Select Settings > Exercise	Odaberite Settings > Exercise	RS800CX-HRRS800CX
The Exercise menu shows a list of exercises.	Izbornik Exercise prikazuje popis vježbi.	RS800CX-HRRS800CX
Navigate through the options with UP or DOWN and view the exercise by pressing OK.	Krećite se kroz opcije pomoću tipki GORE ili DOLJE i pregledajte vježbu pritiskom na OK.	RS800CX-HRRS800CX
• Free: Free exercise with no preset settings. • Basic: Basic training with moderate intensity.	• • • • Free: Slobodna vježba bez postavki. Basic: Vježbanje s blagim intenzitetom.	RS800CX-HRRS800CX
Duration around 45 min. • Interval : Basic interval training.	Trajanje oko 45 min. Interval : Osnovno intervalno.	RS800CX-HRRS800CX
	Vježbanje započinje s 15 minutnim zagrijavanjem, nakon čega slijedi 1 km	RS800CX-HRRS800CX
Exercise starts with a 15-minute warm-up, followed by a 1km interval and a 3-minute recovery period, repeated 5 times.	• interval i 3 minutno razdoblje odmora, ponovljeno 5 puta. Ciklus završava s 15 minutnim hlađenjem.	RS800CX-HRRS800CX
The session ends with a 15-minute cool-down. • OwnZone: The training computer automatically determines your individual aerobic (cardiovascular) heart rate zone.	OwnZone: Monitor srčane frekvencije je u mogućnosti automatski odrediti vašu individualnu aerobnu (kardiovaskularnu) zonu otkucaja srca.	RS800CX-HRRS800CX
This is called OwnZone.	To se naziva OwnZone.	RS800CX-HRRS800CX
Suggested duration for the exercise is 45 minutes.	Preporučeno trajanje 45 minuta.	RS800CX-HRRS800CX
For further information, see Determine Your OwnZone (page 21).	Za dodatne informacije, pogledajte Određivanje vaše zone (OwnZone) (stranica 22 Za dodatne ). informacije, pogledajte OwnZone vježbanje (stranica 54 ).	RS800CX-HRRS800CX
Additional background information can be found in OwnZone Training (page 54). • Add new: Create and save your own basic exercise.	Add new: Stvorite i spremite vlastitu vježbu.	RS800CX-HRRS800CX
You can store a total of 10 exercises + 1 Free exercise in your training computer.	Spremite do ukupno 10 vježbi + 1 Free vježbu u vaš monitor srčane frekvencije.	RS800CX-HRRS800CX
After selecting the exercise, the following options are displayed.	Nakon odabira željene vježbe, prikažu se slijedeće opcije.	RS800CX-HRRS800CX
Select the desired option and press OK.	Odaberite željenu opciju i pritisnite OK.	RS800CX-HRRS800CX
1. Select the exercise as a default exercise.	1. 2. Select (odabir) vježbe kao standardne vježbe.	RS800CX-HRRS800CX
The next time you train, your training computer will offer this exercise as a default.	Slijedeći put kada krenete vježbati, vaš monitor srčane frekvencije će ponuditi ovu vježbu.	RS800CX-HRRS800CX
2. View the exercise settings.	View (pregled) postavki vježbe.	RS800CX-HRRS800CX
Scroll UP or DOWN to view: a.	Za pregled pritisnite GORE ili DOLJE:	RS800CX-HRRS800CX
Basic exercise with 1-3 exercise zones: target heart rate zone, speed/pace or cadence limits for each zone, timer/distance* for the zone, or b. Exercise created with the software: name, description, target exercise time.	a. b. 3. Osnovno vježbanje u 1-3 zone vježbanja: ciljani broj otkucaja srca, granična brzina/ritam za svaku zonu, vrije/udaljenost* za zonu, ili Vježbanje kreirano softverom: naziv, opis, ciljano vrijeme vježbanja.	RS800CX-HRRS800CX
(Press and hold LIGHT to view the exercise phases and chosen sport profile.) 3.	(Pritisnite i držite SVJETLO za pregled faza vježbanja i odabranog sportskog profila.)	RS800CX-HRRS800CX
Edit Basic or OwnZone exercise according to personal requirements.	Edit Basic (namjestite) ili OwnZone vježbu prema vašim potrebama.	RS800CX-HRRS800CX
You can also edit an exercise created with the training computer.	Također možete namjestiti vježbu	RS800CX-HRRS800CX
For further information, see Create New Exercises (page 9).	napravljeno pomoću monitora srčane frekvencije.	RS800CX-HRRS800CX
If you created an exercise with the software that includes phases, you cannot edit them with the training computer.	Za dodatne informacije, pogledajte Stvorite novu vježbu (stranica 9 Ako ste vježbu stvorili sa softverom, a koja uključuje faze, ne možete ih namjestiti s ). vašim monitorom srčane frekvencije.	RS800CX-HRRS800CX
4. Rename Basic, Interval or other exercise created with the training computer.	4. 5. 6. Rename Basic (promijeni naziv) Interval ili druge vježbe stvorene s monitorom srčane frekvencije.	RS800CX-HRRS800CX
5. Default - Return to default settings of Basic, Interval or OwnZone exercise.	Default (standardno) Povratak na standardne postavke Basic, Interval ili OwnZone vježbi.	RS800CX-HRRS800CX
6. Delete exercises created with the training computer or the software. Create New Exercises Create a New Exercise with Zones	Delete (brisanje) vježbu koju ste stvorili koristeći monitor srčane frekvencije ili softver.	RS800CX-HRRS800CX
Create your own exercises with the training computer.	Stvorite novu vježbu Stvorite novu vježbu sa zonama	RS800CX-HRRS800CX
You can create more diversified exercises by using Polar ProTrainer 5.		RS800CX-HRRS800CX
For further information, see software help.		RS800CX-HRRS800CX
Select Settings > Exercises > Add new	PRIPREMA ZA VJEŽBANJE	RS800CX-HRRS800CX
Prepare For Training 9	9 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
	Uz pomoć monitora srčane frekvencije stvorite vašu vlastitu vježbu.	RS800CX-HRRS800CX
